"","ID","name","address","city","state","zip","county","beneficiaries","totaldays","total_medicare_payment","total_medicare_standard_payment","total_charge","percent_home_health","physician_services","home_health_pday","snf_pday","social_service_pday","total_live_discharges","benefls7days","benefgr60days","benefgr180days","home_health_pday_wkppd","snf_pday_wkppd","social_service_pday_wkppd","age","male","female","white","advantage","medicaid","cancer","dementia","stroke","heart","resp","otherdx","site_home","site_alf","site_nonsnf","site_snf","site_inpthospital","site_inpthospice","rated6_","rated7_8","rated9_10","recommend_not","communicated_always","helped_always","respect_always","emotionalsupport_not","emotionalsupport","communicated_not","helped_not","respect_not","communicated_usually","helped_usually","respect_usually","pain_always","pain_not","pain_usually","training_definitely","training_not","training_somewhat","recommend_definitely","recommend_probably","region","regionne","regionmw","regionsouth","regionwest","expansionstate","medicare_payment_pbene","medicare_standard_payment_pbene","charge_pbene","medicare_payment_pbeneday","medicare_standard_payment_pbeneday","charge_pbeneday","medicare_return_rate","discharges_pbeneday","benefgr180days_pct","benefgr60days_pct","benefls7days_pct","calcavglos","totaldx","cancer_pct","stroke_pct","dementia_pct","heart_pct","resp_pct","otherdx_pct","male_pct","female_pct","advantage_pct","medicaid_pct","hourssetting","home_health_pct","snf_pct","social_services_pct","majoritysetting","site_home_pct","site_alf_pct","site_nonsnf_pct","site_snf_pct","site_inpthospital_pct","site_inpthospice_pct"
"1",11500,"BAPTIST HOSPICE","301 INTERSTATE PARK","MONTGOMERY","AL",36109,"AL - Montgomery",253,9824,1497932.12,1733523.8,2887911.9,0.9751,71,0.3707,0.3573,0.0613,20,97,51,NA,0.3287,1.0531,0.1267,78.34,105,148,187,76,37,88,26,35,30,28,46,160,NA,0,25,65,0,2,8,90,1,90,89,96,7,93,4,5,1,6,6,3,83,7,10,85,6,9,96,3,"south",0,0,1,0,0,5920.68031620553,6851.87272727273,11414.671541502,152.476803745928,176.458041530945,293.964973534202,0.518690379716916,2.03583061889251,NA,0.201581027667984,0.383399209486166,38.8300395256917,253,0.347826086956522,0.138339920948617,0.102766798418972,0.118577075098814,0.110671936758893,0.181818181818182,0.41501976284585,0.58498023715415,0.300395256916996,0.146245059288538,0.7893,0.469656657798049,0.452679589509692,0.077663752692259,NA,0.632411067193676,NA,0,0.0988142292490119,0.256916996047431,0
"2",11502,"COMFORT CARE COASTAL HOSPICE - BALDWIN","374 GREENO ROAD","FAIR HOPE","AL",36532,"AL - Mobile",325,20287,2894463.29,3352421.5,4743961.52,0.9868,0,0.2257,0.3026,0.031,36,84,108,34,0.2072,0.8263,0.0605,79.3,130,195,254,122,54,85,56,48,52,32,52,211,NA,21,52,32,0,4,9,87,4,86,86,94,11,89,6,6,2,8,8,4,83,5,12,82,5,13,90,6,"south",0,0,1,0,0,8906.04089230769,10315.1430769231,14596.8046769231,142.675767240105,165.249741213585,233.842437028639,0.610136333905171,1.77453541676936,0.104615384615385,0.332307692307692,0.258461538461538,62.4215384615385,325,0.261538461538462,0.147692307692308,0.172307692307692,0.16,0.0984615384615385,0.16,0.4,0.6,0.375384615384615,0.166153846153846,0.5593,0.403540139460039,0.541033434650456,0.0554264258895047,NA,0.649230769230769,NA,0.0646153846153846,0.16,0.0984615384615385,0
"3",11503,"SAAD HEALTHCARE","1515 UNIVERSITY BOULEVARD, SOUTH","MOBILE","AL",36609,"AL - Mobile",363,33280,4678635.08,5420040.55,7079112.58,0.9828,101,0.5782,0.2034,0.0161,74,67,156,66,0.876,1.6621,0.0174,81.09,151,212,228,208,34,72,48,48,123,44,28,319,NA,NA,NA,26,NA,7,18,75,8,74,72,85,13,87,9,10,3,17,18,12,76,10,14,74,8,18,74,18,"south",0,0,1,0,0,12888.8018732782,14931.241184573,19501.6875482094,140.583986778846,162.861795372596,212.713719350962,0.660907003120439,2.22355769230769,0.181818181818182,0.429752066115702,0.184573002754821,91.6804407713499,363,0.198347107438017,0.132231404958678,0.132231404958678,0.338842975206612,0.121212121212121,0.0771349862258953,0.415977961432507,0.584022038567493,0.573002754820937,0.09366391184573,0.7977,0.724833897455184,0.25498307634449,0.0201830262003259,NA,0.878787878787879,NA,NA,NA,0.0716253443526171,NA
"4",11505,"HOSPICE FAMILY CARE","3304 WESTMILL DRIVE SOUTHWEST","HUNTSVILLE","AL",35805,"AL - Huntsville",269,18396,2665424.88,2945268.5,3313842.75,0.9977,0,0.2314,0.2906,0.0413,28,62,99,33,0.2423,0.9584,0.1085,79.6,115,154,230,49,28,99,37,12,42,29,50,233,NA,31,0,NA,0,3,13,84,3,89,85,93,9,91,5,9,2,6,6,5,82,7,11,80,7,13,91,6,"south",0,0,1,0,0,9908.64267657993,10948.9535315985,12319.1180297398,144.891545988258,160.10374537943,180.139310176125,0.804330525339502,1.5220700152207,0.122676579925651,0.368029739776952,0.230483271375465,68.3866171003718,269,0.368029739776952,0.0446096654275093,0.137546468401487,0.156133828996283,0.107806691449814,0.185873605947955,0.427509293680297,0.572490706319703,0.182156133828996,0.104089219330855,0.5633,0.410793538079176,0.515888514113261,0.0733179478075626,NA,0.866171003717472,NA,0.115241635687732,0,NA,0
"5",11506,"SOUTHERNCARE NEW BEACON - JASPER","300 NORTH AIRPORT ROAD, UNITS 3 AND 4","JASPER","AL",35504,"AL - Birmingham",655,58950,8280777.75,9477055.97,11852812.02,0.9882,0,0.2676,0.2077,0.0327,80,141,287,148,0.2612,0.785,0.0808,80.63,249,406,461,197,197,109,143,54,164,116,69,345,17,190,21,74,NA,3,11,86,3,83,79,93,8,92,7,9,2,10,12,5,78,7,15,79,6,15,86,11,"south",0,0,1,0,0,12642.408778626,14468.787740458,18095.8962137405,140.471208651399,160.764308227311,201.065513486005,0.698634023388485,1.35708227311281,0.225954198473282,0.438167938931298,0.215267175572519,90,655,0.166412213740458,0.0824427480916031,0.218320610687023,0.250381679389313,0.177099236641221,0.105343511450382,0.380152671755725,0.619847328244275,0.300763358778626,0.300763358778626,0.508,0.526771653543307,0.408858267716535,0.0643700787401575,NA,0.526717557251908,0.0259541984732824,0.290076335877863,0.0320610687022901,0.112977099236641,NA
"6",11508,"SOUTHERNCARE NEW BEACON OF ANNISTON","1419 LEIGHTON AVENUE, UNIT A","ANNISTON","AL",36207,"AL - Birmingham",686,77918,10534183.8,12218857.91,14655973.95,0.9919,NA,0.2311,0.1961,0.03,106,105,343,173,0.2082,0.7814,0.0684,78.95,251,435,577,135,200,123,140,38,228,114,43,438,12,97,99,37,NA,6,15,79,5,79,78,90,10,90,8,11,2,13,11,8,73,11,16,79,9,12,83,12,"south",0,0,1,0,0,15355.9530612245,17811.7462244898,21364.3935131195,135.195767345158,156.816883261891,188.094842655099,0.718763818490548,1.36040452783696,0.252186588921283,0.5,0.153061224489796,113.583090379009,686,0.17930029154519,0.0553935860058309,0.204081632653061,0.332361516034985,0.166180758017493,0.0626822157434402,0.365889212827988,0.634110787172012,0.196793002915452,0.291545189504373,0.4572,0.505468066491689,0.428915135608049,0.0656167979002625,NA,0.638483965014577,0.0174927113702624,0.141399416909621,0.144314868804665,0.053935860058309,NA
"7",11510,"HOSPICE OF CULLMAN COUNTY","1912 ALABAMA HWY 157, POB 1, 2ND FLOOR","CULLMAN","AL",35058,"AL - Birmingham",31,1116,158294.11,183800.74,249065.48,1,0,0.1604,0.2578,0.0226,NA,NA,NA,NA,0.1475,1.2049,0.0533,80.68,15,16,30,NA,NA,NA,NA,NA,NA,NA,NA,30,0,NA,0,0,0,0,9,91,2,88,89,94,6,94,4,3,1,8,8,5,85,5,10,89,4,7,94,4,"south",0,0,1,0,0,5106.26161290323,5929.05612903226,8034.37032258065,141.840600358423,164.696003584229,223.176953405018,0.635552184911373,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,0.483870967741935,0.516129032258065,NA,NA,0.4408,0.363883847549909,0.584845735027223,0.0512704174228675,NA,0.967741935483871,0,NA,0,0,0
"8",11511,"HOSPICE OF THE VALLEY, INC","216 JOHNSON STREET, SE  P O BOX 2745","DECATUR","AL",35601,"AL - Huntsville",384,21266,3148568.32,3609444.49,6089749.08,0.9884,0,0.2329,0.2821,0.0507,36,104,108,30,0.2373,0.9349,0.1339,79.84,175,209,342,51,49,123,54,36,67,51,53,305,NA,32,NA,42,0,1,7,92,0,91,90,96,7,93,3,5,1,6,5,3,87,3,10,87,5,8,94,6,"south",0,0,1,0,0,8199.39666666667,9399.59502604167,15858.7215625,148.056443148688,169.728415781059,286.360814445594,0.517027594838111,1.69284303583184,0.078125,0.28125,0.270833333333333,55.3802083333333,384,0.3203125,0.09375,0.140625,0.174479166666667,0.1328125,0.138020833333333,0.455729166666667,0.544270833333333,0.1328125,0.127604166666667,0.5657,0.411702315715043,0.49867420894467,0.0896234753402864,NA,0.794270833333333,NA,0.0833333333333333,NA,0.109375,0
"9",11513,"HOSPICE OF MARSHALL COUNTY/SHEPHERD'S COVE","408 MARTLING ROAD","ALBERTVILLE","AL",35951,"AL - Birmingham",517,29052,4945199.82,5708181.75,14876462.92,0.9237,1212,0.811,0.856,0.0497,32,136,134,49,1.7918,2.2028,0.0857,78.22,228,289,509,76,89,159,62,22,96,93,85,288,NA,47,0,NA,165,2,12,86,2,84,82,92,7,93,6,8,2,10,10,6,80,9,11,78,8,14,91,7,"south",0,0,1,0,0,9565.18340425532,11040.9705029014,28774.589787234,170.218911606774,196.481541718298,512.063297535454,0.332417715594992,1.10147322043233,0.0947775628626693,0.259187620889749,0.263056092843327,56.1934235976789,517,0.307543520309478,0.0425531914893617,0.119922630560928,0.18568665377176,0.179883945841393,0.164410058027079,0.44100580270793,0.55899419729207,0.147001934235977,0.172147001934236,1.7167,0.472418011300751,0.498631094541854,0.028950894157395,NA,0.55705996131528,NA,0.0909090909090909,0,NA,0.319148936170213
"10",11514,"CARE FIRST HOSPICE","1400 URBAN CENTER DRIVE, SUITE 240","BIRMINGHAM","AL",35242,"AL - Birmingham",385,25733,3657887.74,4170718.03,6791433.84,0.9925,0,0.237,0.2664,0.0364,87,68,138,43,0.2398,0.8508,0.059,82.05,167,218,318,166,30,93,64,40,95,62,31,377,0,NA,NA,NA,0,8,9,83,7,82,74,90,12,88,7,15,4,11,11,6,78,9,13,77,8,15,79,14,"south",0,0,1,0,0,9501.00711688312,10833.0338441558,17640.0878961039,142.147737924066,162.076634282827,263.919241440951,0.538603161891363,3.38087280923328,0.111688311688312,0.358441558441558,0.176623376623377,66.838961038961,385,0.241558441558442,0.103896103896104,0.166233766233766,0.246753246753247,0.161038961038961,0.0805194805194805,0.433766233766234,0.566233766233766,0.431168831168831,0.0779220779220779,0.5398,0.439051500555761,0.4935161170804,0.0674323823638385,NA,0.979220779220779,0,NA,NA,NA,0
